"newColName","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TMEM233",10.5230196674764,0.208458299284424,0.182677817726535,1.14112540799278,0.253817739359252,0.499023508727152
"TMEM25",534.725528820827,-0.0044267977694098,0.0846861840058588,-0.0522729630739242,0.958311196196581,0.981234435605601
"TMEM26",58.059700406918,0.0986921518320618,0.132244184879779,0.746287270943377,0.455493899125721,0.680898803233155
"TMEM27",30.0564289971745,-0.0300824901771397,0.127701697671441,-0.235568443690841,0.813767562659102,0.911575543673218
"TMEM30A",3420.20742821089,3.06316758013729e-06,0.0669493613740709,4.57534996192455e-05,0.999963493989064,0.999963493989064
"TMEM30B",1069.97611897344,-0.0193058857092677,0.0975747015591901,-0.197857491755243,0.843156563286415,0.925085201034063
"TMEM30C",0,NA,NA,NA,NA,NA
"TMEM31",4.90543014835591,0.529282813835193,0.273514123632068,1.93512059562667,0.0529754987120177,0.202089640620083
"TMEM33",1485.674644395,-0.145996528478631,0.0557708195719269,-2.61779420849896,0.00885001599571022,0.0634897047208176
"TMEM35",98.2944642088475,-0.0334892280031598,0.180530087232721,-0.185504967712051,0.852832984218561,0.929696652575972
"TMEM37",186.717921480818,0.549943998136051,0.140225664490758,3.9218498277988,8.78717543572618e-05,0.00234946125411308
"TMEM38A",218.111219456975,-0.0416595975811313,0.12213656123648,-0.341090310381919,0.733035595508655,0.867186104686138
"TMEM38B",175.23630317234,-0.148504430055935,0.117904513433131,-1.25953134220055,0.20783847686822,0.445304623902294
"TMEM39A",1028.42933749084,0.092279094058521,0.0519140704785838,1.77753532342622,0.0754802043786271,0.247539356343446
"TMEM39B",591.682334430077,0.0828154347918698,0.0603317804862707,1.37266684530743,0.169855940737049,0.397671926243388
"TMEM40",15.1049438698325,-0.453919576364554,0.312832175210214,-1.45100028812424,0.146779779979294,0.368024157524915
"TMEM41A",1212.76674203829,-0.0557173638015657,0.059957350900989,-0.929283281604202,0.352742297060827,0.595257130151996
"TMEM41B",648.231796664546,-0.143745516505707,0.0548067278815273,-2.62277136515856,0.00872177800813554,0.0629455993130199
